Path	File	Name	Frames	Slices	Bits	TimeRes	XYRes	ZRes	Delay	Nickname	Rep	Zoom	Flip	From	nc14	To	SplitEarly	Notes
/Volumes/Mac OS/MS2/20190318 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi/	20190318 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi 2.lif	_3D/	326	29	12	15	0.36	1	0	m5m8peve ctaRi	8	2	1,0	1	55	327	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190319 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi/	20190319 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi.lif	_3D/	394	29	12	15	0.36	1	0	m5m8peve wRi	6	2	0,1	1	150	395	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190320 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi/	20190320 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi.lif	_3D/	403	29	12	15	0.36	1	0	m5m8peve wRi	7	2	1,1	1	100	404	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190325 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi/	20190325 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi 1.lif	_3D/	402	29	12	15	0.36	1	0	m5m8peve ctaRi	9	2	1,1	1	100	403	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190325 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi/	20190325 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi 2.lif	_3D/	285	29	12	15	0.36	1	0	m5m8peve ctaRi	10	2	0,1	1	20	286	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190327 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi, eveNICD/	20190327 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi, eveNICD.lif	_3D/	334	29	12	15	0.36	1	0	m5m8peve ctaRi eveNICD	1	2	1,1	1	60	335	15	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190328 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi, eveNICD/	20190328 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi, eveNICD.lif	_3D/	429	29	12	15	0.36	1	0	m5m8peve ctaRi eveNICD	2	2	0,0	1	140	430	15	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190401 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi, eveNICD/	20190401 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi, eveNICD.lif	_3D/	335	29	12	15	0.36	1	0	m5m8peve ctaRi eveNICD	3	2	0,0	1	85	336	15	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190403 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi, eveNICD/	20190403 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi, eveNICD 1.lif	_3D/	347	29	12	15	0.36	1	0	m5m8peve ctaRi eveNICD	4	2	0,1	1	26	348	15	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190403 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi, eveNICD/	20190403 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi, eveNICD 2.lif	_3D/	342	29	12	15	0.36	1	0	m5m8peve ctaRi eveNICD	5	2	1,0	1	80	343	15	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190404 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi, eveNICD/	20190404 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi, eveNICD 2.lif	_3D/	330	29	12	15	0.36	1	0	m5m8peve wRi eveNICD	2	2	0,1	1	84	331	15	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190405 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi, eveNICD/	20190405 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi, eveNICD 1.lif	_3D/	409	29	12	15	0.36	1	0	m5m8peve wRi eveNICD	3	2	0,0	1	90	410	15	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190405 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi, eveNICD/	20190405 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi, eveNICD 2.lif	_3D/	334	29	12	15	0.36	1	20	m5m8peve wRi eveNICD	4	2	0,0	1	1	335	15	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190408 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi, eveNICD/	20190408 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi, eveNICD.lif	_3D/	290	29	12	15	0.36	1	0	m5m8peve wRi eveNICD	5	2	1,1	1	48	291	15	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190411 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi, eveNICD/	20190411 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi, eveNICD.lif	_3D/	441	29	12	15	0.36	1	0	m5m8peve wRi eveNICD	6	2	1,0	1	175	442	15	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190418 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi, eveNICD/	20190418 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, wRi, eveNICD.lif	_3D/	354	29	12	15	0.36	1	0	m5m8peve wRi eveNICD	7	2	0,0	1	72	355	15	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190424 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, RhoGEF2Ri/	20190424 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, RhoGEF2Ri 1.lif	_3D/	384	29	12	15	0.36	1	0	m5m8peve RhoGEF2Ri	2	2	1,1	1	100	385	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190424 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, RhoGEF2Ri/	20190424 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, RhoGEF2Ri 2.lif	_3D/	334	29	12	15	0.36	1	0	m5m8peve RhoGEF2Ri	3	2	0,0	1	62	335	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190424 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, RhoGEF2Ri/	20190424 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, RhoGEF2Ri 3.lif	_3D/	377	29	12	15	0.36	1	0	m5m8peve RhoGEF2Ri	4	2	1,1	1	60	378	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190425 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, RhoGEF2Ri/	20190425 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, RhoGEF2Ri.lif	_3D/	356	29	12	15	0.36	1	0	m5m8peve RhoGEF2Ri	5	2	0,0	1	65	357	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190613 hisRFP, nosMCPGFP, m5m8peveMS2lacZ/	20190613 hisRFP, nosMCPGFP, m5m8peveMS2lacZ 1.lif	_3D/	279	29	12	15	0.36	1	0	m5m8peve	1	2	0,0	1	15	280	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190613 hisRFP, nosMCPGFP, m5m8peveMS2lacZ/	20190613 hisRFP, nosMCPGFP, m5m8peveMS2lacZ 2.lif	_3D/	334	29	12	15	0.36	1	0	m5m8peve	2	2	0,1	1	60	335	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
